OP TYPE, OP SIZE, ADDRESS, DATA
READ, FULL, 40000000, 000000b3
READ, FULL, 40000004, 00000133
READ, FULL, 40000008, 000001b3
READ, FULL, 4000000c, 00000233
READ, FULL, 40000010, 000002b3
READ, FULL, 40000014, 00000333
READ, FULL, 40000018, 000003b3
READ, FULL, 4000001c, 00000433
READ, FULL, 40000020, 000004b3
READ, FULL, 40000024, 00000533
READ, FULL, 40000028, 000005b3
READ, FULL, 4000002c, 00000633
READ, FULL, 40000030, 000006b3
READ, FULL, 40000034, 00000733
READ, FULL, 40000038, 000007b3
READ, FULL, 4000003c, 00000833
READ, FULL, 40000040, 000008b3
READ, FULL, 40000044, 00000933
READ, FULL, 40000048, 000009b3
READ, FULL, 4000004c, 00000a33
READ, FULL, 40000050, 00000ab3
READ, FULL, 40000054, 00000b33
READ, FULL, 40000058, 00000bb3
READ, FULL, 4000005c, 00000c33
READ, FULL, 40000060, 00000cb3
READ, FULL, 40000064, 00000d33
READ, FULL, 40000068, 00000db3
READ, FULL, 4000006c, 00000e33
READ, FULL, 40000070, 00000eb3
READ, FULL, 40000074, 00000f33
READ, FULL, 40000078, 00000fb3
READ, FULL, 4000007c, 40000537
READ, FULL, 40000080, 09c50513
READ, FULL, 40000084, f0c2c637
READ, FULL, 40000080, 09c50513
READ, FULL, 40000084, f0c2c637
READ, FULL, 40000088, 00050583
READ, FULL, 4000008c, 02058463
READ, FULL, 4000009c, 53417b24
READ, FULL, 4000008c, 02058463
READ, FULL, 40000090, 00b62023
READ, FULL, 40000094, 00150513
WRITE, FULL, f0c2c000, 24000000
READ, FULL, 40000094, 00150513
READ, FULL, 40000098, ff1ff06f
READ, FULL, 4000009c, 53417b24
READ, FULL, 40000088, 00050583
READ, FULL, 4000008c, 02058463
READ, FULL, 4000009d, 00000000
READ, FULL, 4000008c, 02058463
READ, FULL, 40000090, 00b62023
READ, FULL, 400000b4, 02e00593
WRITE, FULL, f0c2c000, 00000000
READ, FULL, 400000b4, 02e00593
READ, FULL, 400000b8, 00b62023
READ, FULL, 400000bc, 00b62023
WRITE, FULL, f0c2c000, 2e000000
READ, FULL, 400000bc, 00b62023
READ, FULL, 400000c0, 00000093
WRITE, FULL, f0c2c000, 2e000000
READ, FULL, 400000c0, 00000093
READ, FULL, 400000c4, 00000113
READ, FULL, 400000c8, 002081b3
READ, FULL, 400000cc, 00000e93
READ, FULL, 400000c8, 002081b3
READ, FULL, 400000cc, 00000e93
READ, FULL, 400000d0, 00200e13
READ, FULL, 400000d4, 4dd19663
READ, FULL, 400000d8, 00100093
READ, FULL, 400000dc, 00100113
READ, FULL, 400000e0, 002081b3
READ, FULL, 400000e4, 00200e93
READ, FULL, 400000e0, 002081b3
READ, FULL, 400000e4, 00200e93
READ, FULL, 400000e8, 00300e13
READ, FULL, 400000ec, 4bd19a63
READ, FULL, 400000f0, 00300093
READ, FULL, 400000f4, 00700113
READ, FULL, 400000f8, 002081b3
READ, FULL, 400000fc, 00a00e93
READ, FULL, 400000f8, 002081b3
READ, FULL, 400000fc, 00a00e93
READ, FULL, 40000100, 00400e13
READ, FULL, 40000104, 49d19e63
READ, FULL, 40000108, 00000093
READ, FULL, 4000010c, ffff8137
READ, FULL, 40000110, 002081b3
READ, FULL, 40000114, ffff8eb7
READ, FULL, 40000110, 002081b3
READ, FULL, 40000114, ffff8eb7
READ, FULL, 40000118, 00500e13
READ, FULL, 4000011c, 49d19263
READ, FULL, 40000120, 800000b7
READ, FULL, 40000124, 00000113
READ, FULL, 40000128, 002081b3
READ, FULL, 4000012c, 80000eb7
READ, FULL, 40000128, 002081b3
READ, FULL, 4000012c, 80000eb7
READ, FULL, 40000130, 00600e13
READ, FULL, 40000134, 47d19663
READ, FULL, 40000138, 800000b7
READ, FULL, 4000013c, ffff8137
READ, FULL, 40000140, 002081b3
READ, FULL, 40000144, 7fff8eb7
READ, FULL, 40000140, 002081b3
READ, FULL, 40000144, 7fff8eb7
READ, FULL, 40000148, 00700e13
READ, FULL, 4000014c, 45d19a63
READ, FULL, 40000150, 00000093
READ, FULL, 40000154, 00008137
READ, FULL, 40000158, fff10113
READ, FULL, 4000015c, 002081b3
READ, FULL, 40000158, fff10113
READ, FULL, 4000015c, 002081b3
READ, FULL, 40000160, 00008eb7
READ, FULL, 4000015c, 002081b3
READ, FULL, 40000160, 00008eb7
READ, FULL, 40000164, fffe8e93
READ, FULL, 40000168, 00800e13
READ, FULL, 40000164, fffe8e93
READ, FULL, 40000168, 00800e13
READ, FULL, 4000016c, 43d19a63
READ, FULL, 40000170, 800000b7
READ, FULL, 40000174, fff08093
READ, FULL, 40000178, 00000113
READ, FULL, 40000174, fff08093
READ, FULL, 40000178, 00000113
READ, FULL, 4000017c, 002081b3
READ, FULL, 40000180, 80000eb7
READ, FULL, 4000017c, 002081b3
READ, FULL, 40000180, 80000eb7
READ, FULL, 40000184, fffe8e93
READ, FULL, 40000188, 00900e13
READ, FULL, 40000184, fffe8e93
READ, FULL, 40000188, 00900e13
READ, FULL, 4000018c, 41d19a63
READ, FULL, 40000190, 800000b7
READ, FULL, 40000194, fff08093
READ, FULL, 40000198, 00008137
READ, FULL, 40000194, fff08093
READ, FULL, 40000198, 00008137
READ, FULL, 4000019c, fff10113
READ, FULL, 400001a0, 002081b3
READ, FULL, 4000019c, fff10113
READ, FULL, 400001a0, 002081b3
READ, FULL, 400001a4, 80008eb7
